assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage
2208,1161430,4302,immortal,1417,5881,372,5974,1147824
2201,1199619,4832,immortal,1263,6657,387,6318,1241461
2196,1096834,4486,immortal,1170,5795,331,5604,1116887
2196,1107334,3744,ascendant,1194,5777,336,5713,1116891
2195,1408458,4183,immortal,1735,7281,436,7358,1268335
2193,1276281,5140,immortal,1430,6964,416,6755,1283943
2193,986207,4023,immortal,1091,5600,334,5184,1061894
2187,1144463,4432,immortal,1371,6984,397,6053,1334561
2183,1094208,4371,immortal,1221,5814,341,5569,1099577
2183,1103579,4189,immortal,1212,6190,349,5730,1177374
2181,1148954,3771,immortal,1241,5351,378,5985,1049315
2181,1193990,4247,immortal,1453,6319,368,6197,1198667
2177,1259081,4535,immortal,1452,6202,402,6543,1190992
2177,1253900,5735,immortal,1309,7136,446,6735,1354773
2169,1159078,4276,immortal,1428,5656,379,6041,1070728
2164,1330274,4819,immortal,1589,7545,431,6699,1445527
2155,1182049,3800,immortal,1361,5853,386,6140,1118051
2151,1389527,5837,immortal,1434,7884,433,7370,1487066
2151,954148,3630,immortal,1122,4753,328,4952,920278
2149,1166499,5350,immortal,1381,7012,397,6134,1315250
2139,1088756,3957,immortal,1135,5457,348,5692,1051279
2138,1176560,4372,ascendant,1166,6076,350,6026,1139164
2131,998980,5065,immortal,1022,7248,360,5189,1320605
2129,1043010,4705,immortal,1096,6164,358,5485,1160802
2126,1367948,5453,immortal,1568,7275,472,7246,1398535
2125,1146977,4563,immortal,1315,6262,360,5946,1176669
2123,1208658,4265,immortal,1376,5772,377,6276,1134617
2123,1178205,4787,immortal,1424,6404,388,6193,1208971
2122,1243575,4722,immortal,1513,6780,392,5928,1276468
2119,1083500,4285,immortal,1253,6398,361,5591,1209479
2117,995359,3452,immortal,1207,4879,314,5051,950061
2111,1300759,5579,immortal,1365,7214,427,6703,1370553
2104,962977,3941,immortal,1203,5552,332,5080,1056819
2101,1188884,4230,immortal,1281,6309,385,6323,1213285
2098,1275435,5400,immortal,1445,7124,442,6787,1357864
2097,1102522,3416,immortal,1277,5960,355,5745,1140795
2091,1280790,5205,immortal,1332,6686,425,6730,1250145
2089,1044505,3788,immortal,1273,5381,362,5559,1042798
2086,1325902,5526,immortal,1389,7495,441,6830,1434860
2086,963515,4753,immortal,1104,6027,350,5051,1121268
2085,1113906,3680,immortal,1371,5634,358,5930,1048778
2081,1207752,4631,immortal,1315,6683,422,6398,1281292
2078,1185371,4355,immortal,1213,6634,419,6144,1248881
2076,1079559,4072,immortal,1160,5799,332,5651,1074695
2076,1003114,3633,immortal,1065,4773,325,5262,915107
2075,944468,3865,immortal,1001,5608,337,4911,1045843
2072,1169191,3765,immortal,1156,5588,366,6202,1089422
2066,1180761,4304,immortal,1528,5888,386,6244,1138515
2064,1104275,4538,immortal,1018,6331,375,5828,1195660
2062,1113359,4421,immortal,1288,6072,357,5608,1135480
2062,1193497,3510,immortal,1398,5873,370,6277,1137328
2061,1119001,4007,immortal,1313,5343,360,5882,1039963
2057,1195140,4052,immortal,1317,5835,376,6299,1142249
2053,1147297,4496,immortal,1182,6083,375,5992,1140727
2047,946280,3490,immortal,1175,4684,321,4995,893783
2043,1401910,5338,immortal,1553,7191,445,7122,1318031
2041,853836,3737,immortal,1087,4798,292,4557,930285
2039,1148970,4445,immortal,1419,5761,363,5967,1098358
2038,930086,3662,immortal,1054,5486,326,4868,1074671
2037,1225618,4959,immortal,1375,6696,410,6403,1251086
2035,1320320,5082,immortal,1551,6603,405,6823,1228949
2032,1001297,4017,immortal,1303,5789,341,5314,1101499
